university_id,join_id,_id,receive_student_number,receive_add_limit,gender_male_number,gender_female_number,receive_student_number_formal,receive_student_number_international,receive_student_number_vocational,receive_student_number_nonformal
001,,5e225a6ab8e2112970564be4,400,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564beb,50,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564bec,15,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564be5,10,B,0,0,0,0,0,0
001,,5e225a6ab8e2112970564bea,20,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564be9,25,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564be8,30,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564be7,25,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564be6,5,C10,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d35,15,A,0,0,0,0,0,0
001,2701,5e225a6ab8e2112970564d36,25,B,0,0,0,0,0,0
001,2701,5e225a6ab8e2112970564d38,25,B,0,0,0,0,0,0
001,2701,5e225a6ab8e2112970564d37,25,B,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d39,5,B,0,0,0,0,0,0
001,2702,5e225a6ab8e2112970564d3a,13,C1,0,0,0,0,0,0
001,2702,5e225a6ab8e2112970564d3b,13,C1,0,0,0,0,0,0
001,2702,5e225a6ab8e2112970564d3c,13,C1,0,0,0,0,0,0
001,2702,5e225a6ab8e2112970564d3d,13,C1,0,0,0,0,0,0
001,2702,5e225a6ab8e2112970564d3e,13,C1,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d3f,15,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d40,12,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d41,40,C3,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d42,12,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d43,12,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d44,12,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d45,14,C1,0,0,0,0,0,0
001,2703,5e225a6ab8e2112970564d46,5,C1,0,0,0,0,0,0
001,2703,5e225a6ab8e2112970564d48,5,C1,0,0,0,0,0,0
001,2703,5e225a6ab8e2112970564d47,5,C1,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d49,3,C1,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4e,2,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4f,2,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4a,3,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4b,3,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4c,3,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d4d,3,A,0,0,0,0,0,0
001,2704,5e225a6ab8e2112970564d50,23,A,0,0,0,0,0,0
001,2704,5e225a6ab8e2112970564d51,23,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d90,100,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d91,20,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d92,30,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d93,20,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564d94,30,A,0,0,0,0,0,0
001,,5e225a6ab8e2112970564dcf,25,A,0,0,0,0,0,0
002,,5e222aa0b8e211297056458c,10,C5,0,0,0,0,0,0
002,,5e222aa0b8e211297056458a,5,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564585,10,C5,0,0,0,0,0,0
002,,5e222aa0b8e211297056458b,7,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564589,11,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564584,80,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564586,10,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564587,2,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564588,15,C5,0,0,0,0,0,0
002,,5e222aa0b8e2112970564597,120,C10,0,0,0,0,0,0
002,,5e222aa0b8e21129705645b8,70,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645ba,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645bb,40,C1,0,0,0,0,0,0
002,,5e222aa0b8e21129705645bd,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645bc,20,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645be,25,C3,0,0,0,0,0,0
002,1166,5e222aa0b8e21129705645bf,10,A,0,0,0,0,0,0
002,1166,5e222aa0b8e21129705645c0,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645c1,15,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645c2,15,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645cb,20,C1,0,0,0,0,0,0
002,,5e222aa0b8e21129705645cc,20,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645ce,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645c3,5,A,0,0,0,0,0,0
002,1165,5e222aa0b8e21129705645c4,10,A,0,0,0,0,0,0
002,1165,5e222aa0b8e21129705645c5,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645c6,10,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645cd,20,C1,0,0,0,0,0,0
002,,5e222aa0b8e21129705645cf,4,A,0,0,0,0,0,0
002,,5e222aa0b8e21129705645d0,10,A,0,0,0,0,0,0
002,1167,5e222aa0b8e21129705645c7,16,A,0,0,0,0,0,0
